"BridgeName";"IsBridgeBroken";"SimulationTime"
"N1_LRP033B";0;11.0
"N1_LRP035B";0;11.0
"N1_LRP038E";0;11.0
"N1_LRP042B";0;11.0
"N1_LRP048B";0;11.0
"N1_LRP050B";0;11.0
"N1_LRP056B";0;11.0
"N1_LRP072B";0;11.0
"N1_LRP089B";0;11.0
"N1_LRP093B";0;11.0
"N1_LRP095B";0;11.0
"N1_LRP099B";0;11.0
"N1_LRP102B";0;11.0
"N1_LRP105B";0;11.0
"N1_LRP108B";0;11.0
"N1_LRP110B";0;11.0
"N1_LRP111B";0;11.0
"N1_LRP113B";0;11.0
"N1_LRP119C";0;11.0
"N1_LRP126B";0;11.0
"N1_LRP128B";0;11.0
"N1_LRP139C";0;11.0
"N1_LRP151B";0;11.0
"N1_LRP156B";0;11.0
"N1_LRP163B";0;11.0
"N1_LRP168B";0;11.0
"N1_LRP176B";0;11.0
"N1_LRP187B";0;11.0
"N1_LRP204D";0;11.0
"N1_LRP209B";0;11.0
"N1_LRP210B";0;11.0
"N1_LRP211C";0;11.0
"N1_LRP213B";0;11.0
"N1_LRP216B";0;11.0
"N1_LRP217B";0;11.0
"N1_LRP217E";0;11.0
"N1_LRP218B";0;11.0
"N1_LRP218D";0;11.0
"N1_LRP219B";0;11.0
"N1_LRP221C";0;11.0
"N1_LRP224B";0;11.0
"N1_LRP226B";0;11.0
"N1_LRP227C";0;11.0
"N1_LRP229B";0;11.0
"N1_LRP231C";0;11.0
"N1_LRP232D";0;11.0
"N1_LRP234B";0;11.0
"N1_LRP246B";0;11.0
"N1_LRP247B";0;11.0
"N1_LRP248B";0;11.0
"N1_LRP248D";0;11.0
"N1_LRP250B";0;11.0
"N1_LRP265B";0;11.0
"N1_LRP269B";0;11.0
"N1_LRP272B";0;11.0
"N1_LRP276C";0;11.0
"N1_LRP277B";0;11.0
"N1_LRP279B";0;11.0
"N1_LRP279D";0;11.0
"N1_LRP286B";0;11.0
"N1_LRP287B";0;11.0
"N1_LRP290B";0;11.0
"N1_LRP290D";0;11.0
"N1_LRP298B";0;11.0
"N1_LRP299B";0;11.0
"N1_LRP308D";0;11.0
"N1_LRP309C";0;11.0
"N1_LRP310B";0;11.0
"N1_LRP313B";0;11.0
"N1_LRP314C";0;11.0
"N1_LRP325B";0;11.0
"N1_LRP329B";0;11.0
"N1_LRP331C";0;11.0
"N1_LRP336B";0;11.0
"N1_LRP340D";0;11.0
"N1_LRP347B";0;11.0
"N1_LRP349B";0;11.0
"N1_LRP350B";0;11.0
"N1_LRP354B";0;11.0
"N1_LRP362B";0;11.0
"N1_LRP362D";0;11.0
"N1_LRP365D";0;11.0
"N1_LRP373B";0;11.0
"N1_LRP376D";0;11.0
"N1_LRP379B";0;11.0
"N1_LRP383C";0;11.0
"N1_LRP385C";0;11.0
"N1_LRP389D";0;11.0
"N1_LRP392D";0;11.0
"N1_LRP393C";0;11.0
"N1_LRP399B";0;11.0
"N1_LRP401B";0;11.0
"N1_LRP402B";0;11.0
"N1_LRP403B";0;11.0
"N1_LRP403E";0;11.0
"N1_LRP405C";0;11.0
"N1_LRP407C";0;11.0
"N1_LRP409C";0;11.0
"N1_LRP410B";0;11.0
"N1_LRP410D";0;11.0
"N1_LRP411B";0;11.0
"N1_LRP412C";0;11.0
"N1_LRP412E";0;11.0
"N1_LRP413C";0;11.0
"N1_LRP421C";0;11.0
"N1_LRP422C";0;11.0
"N1_LRP424D";0;11.0
"N1_LRP425C";0;11.0
"N1_LRP427C";0;11.0
"N1_LRP428B";0;11.0
"N1_LRP429F";0;11.0
"N1_LRP430D";0;11.0
"N1_LRP433G";0;11.0
"N1_LRP436C";0;11.0
"N1_LRP440E";0;11.0
"N1_LRP441C";0;11.0
"N1_LRP443C";0;11.0
"N1_LRP445B";0;11.0
"N1_LRP448B";0;11.0
"N1_LRP450B";0;11.0
"N1_LRP452B";0;11.0
"N1_LRP452E";0;11.0
"N1_LRP454C";0;11.0
"N1_LRP455C";0;11.0
"N1_LRP456F";0;11.0
"N1_LRP457B";0;11.0
"N1_LRP457D";0;11.0
"N1_LRP458C";0;11.0
"N1_LRP459B";0;11.0
"N1_LRP460E";0;11.0
"N1_LRP460H";0;11.0
"N1_LRP461D";0;11.0
"N1_LRP461I";0;11.0
"N1_LRP462B";0;11.0
"N1_LRP463B";0;11.0
"N1_LRP465B";0;11.0
"N1_LRP466C";0;11.0
